facil  ;sintaxe             ;Soma Simples        ;Leia dois valores inteiros, no caso para variaveis A e B. A seguir, calcule a soma entre elas e atribua a variavel SOMA. A seguir escrever o valor desta variavel.
dificil;sintaxe             ;Converter Letras    ;Faca um programa para converter uma letra maiuscula em letra minuscula. Use a tabela ASCII para resolver o problema.
dificil;sintaxe             ;Triangulo Retangulo ;Dados tres numeros naturais, verificar se eles formam os lados de um triangulo retangulo.
dificil;sintaxe		    ;True or False       ;Crie um programa que le tres inteiros e informa VERDADEIRO se apenas o maior deles e parou se o menor deles e impar ou informa FALSO em caso contrario.
dificil;sintaxe		    ;Caractere           ;Faça um programa que le do usuario um caractere e informa se ele e uma vogal, uma consoante ou nao e uma letra.
dificil;sintaxe		    ;Placar do Jogo      ;Desenvolva um programa que recebe do usuario o placar de um jogo de futebol (os gols de cada time) e informa se o resultado foi um empate, a vitoria do primeiro time ou do segundo time 
dificil;sintaxe		    ;Intervalos          ;Escreva um programa que le do usuario 4 (quatro) numeros inteiros e informa se ha ou nao um deles no intervalo entre 1 e 25, outro de 26 a 50, outro de 51 a 75 e um ultimo de 76 a 100.
dificil;sintaxe		    ;Cores               ;Elabore um programa que recebe do usuario tres cadeias de caracteres e informa VERDADEIRO se ha pelo menos duas diferentes cadeias iguais aos valores \'azul\', \'preto\'ou \'vermelho\' ou FALSO em caso contrario. Exemplos: {\'azul\', \'preto\', \'branco\'} e VERDADEIRO. {\'azul\', \'roxo\', \'azul\'} e FALSO. {\'preto\', vermelho\', \'vermelho\'} e VERDADEIRO. 
dificil;sintaxe             ;Bingo               ;Faca um programa que requisita do usuario 3 (tres) numeros inteiros para apostar num bingo e depois requisita os 3 (tres) inteiros que foram sorteados. Finalmente, o programa deve informar  quantos numeros o usuario acertou no sorteio (0, 1, 2 ou 3 acertos).
dificil;sintaxe             ;Saltos Ornamentais  ;Em uma competicao de saltos ornamentais, 6 (seis) juizes informam notas reais variando de 0 a 10. A nota final do atleta deve excluir a maior e a menor nota dos juizes e e composta pela soma das quatro demais notas. Faca um programa que le do usuario as seis notas dos juizes e informa a nota final do atleta (a soma das notas excluindo a menor e a maior delas).
dificil;sintaxe             ;Pares Iguais        ;Faca um programa que requisita do usuario 5 (cinco) numeros inteiros e informa se pelo menos dois pares diferentes desses numeros sao iguais. Exemplo: {3,4,4,5,3} e {1,2,2,1,2} tem 2 pares de numeros iguais mas {2,2,2,3,2} nao tem 2 pares diferentes de numeros iguais.
facil  ;Laco de Repeticao   ;Binario para Decimal;Dado um numero natural na base binaria, transforma-lo para a base decimal.
facil  ;Laco de Repeticao   ;Decimal para Binario;Dado um numero natural na base decimal, transforma-lo para a base binaria.
facil  ;Laco de Repeticao   ;Soma                ;Faça um modulo que exibe a soma dos 100 inteiros de um vetor
facil  ;Laco de Repeticao   ;Soma dos Pares      ;Dados n e n sequencias de numeros inteiros nao-nulos, cada qual seguida por um 0, calcular a soma dos numeros pares de cada sequencia
facil  ;Laco de Repeticao   ;Soma dos Primos     ;Dados n numeros inteiros positivos, calcular a soma dos que sao primos.
facil  ;Laco de Repeticao   ;Primeiros Impares   ;Faca um programa que calcule e mostre a soma dos 30 primeiros numeros impares.
facil  ;Laco de Repeticao   ;Pares ou Impares    ;Ler uma sequencia de numeros inteiros e determinar se eles sao pares ou nao. Devera ser informado o numero de dados lidos e numero de valores pares. O processo termina quando for digitado o numero 1000.
facil  ;Laco de Repeticao   ;Maior Numero Lido   ;Escreva um algoritmo que leia certa quantidade de numeros e imprima o maior deles e quantas vezes o maior numero foi lido. A quantidade de numeros a serem lidos deve ser fornecida pelo usuario.
facil  ;Laco de Repeticao   ;11, 13 ou 17        ;Faca um algoritmo que encontre o primeiro multiplo de 11, 13 ou 17 apos um numero dado.
facil  ;Laco de Repeticao   ;2 milhoes           ;A soma dos primos abaixo de 10 e 2 + 3 + 5 + 7 = 17. Encontre a soma de todos os primos abaixo de dois milhoes.
medio  ;Laco de Repeticao   ;Algoritmo Euclides  ;Dados dois numeros inteiros positivos, determinar o maximo divisor comum entre eles usando o algoritmo de Euclides.
medio  ;Laco de Repeticao   ;Numeros Perfeitos   ;Dizemos que um inteiro positivo n e perfeito se for igual a soma de seus divisores positivos diferentes de n. Exemplo: 6 e perfeito, pois 1+2+3 = 6. Dado um inteiro positivo n, verificar se n e perfeito.
medio  ;Laco de Repeticao   ;Decompor Numeros    ;Dado um numero inteiro positivo, determine a sua decomposicao em fatores primos calculando tambem a multiplicidade de cada fator.
medio  ;Laco de Repeticao   ;MDC                 ;Dados um inteiro positivo n e uma sequencia de n inteiros positivos, determinar o maximo divisor comum a todos eles.
medio  ;Laco de Repeticao   ;Saque               ;Escreva um programa que receba como entrada o valor do saque realizado pelo cliente de um banco e retorne quantas notas de cada valor serao necessarias para atender ao saque com a menor quantidade de notas possivel. Serao utilizadas notas de 100, 50, 20, 10, 5, 2 e 1 real.
medio  ;Laco de Repeticao   ;Fibonacci           ;Cada novo termo na sequencia de Fibonacci e gerado adicionando os dois termos anteriores. Comecando com 1 e 2, os primeiros 10 termos serao: 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, ... Considerando os termos da sequencia de Fibonacci cujos valores nao excedam quatro milhoes, encontre a soma dos termos com valor par.
medio  ;Laco de Repeticao   ;Maior Palindromo    ;Um numero palindromo le os dois lados da mesma maneira. O maior palindromo feito a partir do produto de dois numeros de 2 digitos e 9009 = 91 * 99. Encontre o maior palindromo feito com o produto de dois numeros de 3 digitos.
medio  ;Laco de Repeticao   ;Exponenciacao       ;Faca um algoritmo que seja capaz de obter o resultado de uma exponenciacao para qualquer base e expoente inteiro fornecidos, sem utilizar a operacao de exponenciacao.
medio  ;Laco de Repeticao   ;Media Aritmetica    ;Faca um algoritmo que leia uma lista de numeros inteiros positivos terminada pelo numero 0 (zero). Ao final, o algoritmo deve mostrar a media aritmetica de todos os numeros lidos (excluindo o zero).
medio  ;Laco de Repeticao   ;Quadrados Perfeitos ;Escreva um algoritmo em C/C++ que receba varios numeros e verifique se eles sao ou nao quadrados perfeitos. O algoritmo termina a execucao quando for digitado um numero menor ou igual a 0
dificil;Laco de Repeticao   ;Duas Dezenas        ;Qualquer numero natural de quatro algarismos pode ser dividido em duas dezenas formadas pelos seus dois primeiros e dois ultimos digitos. Exemplos: 1297: 12 e 97. 5314: 53 e 14. Escreva um programa que imprime todos os milhares (4 algarismos) cuja raiz quadrada seja a soma das dezenas formadas pela divisao acima. Exemplo: raiz de 9801 = 99 = 98 + 01. Portanto 9801 e um dos numeros a ser impresso.
dificil;Laco de Repeticao   ;Palindromo          ;Dizemos que um numero natural n e palindromo (3) se o primeiro algarismo de n e igual ao seu ultimo algarismo, o  segundo algarismo de n e igual ao penultimo algarismo, e assim sucessivamente.
dificil;Laco de Repeticao   ;Soma do Fatorial    ;Encontre a soma dos digitos no numero 100!
dificil;Laco de Repeticao   ;Soma nao abundante  ;Um numero perfeito e um numero para o qual a soma de seus divisores apropriados e exatamente igual ao numero. Por exemplo, a soma dos divisores apropriados de 28 seria 1 + 2 + 4 + 7 + 14 = 28, o que significa que 28 e um numero perfeito. Um numero n e chamado de deficiente se a soma de seus divisores proprios for menor que n e for chamada abundante se essa soma exceder n . encontre a soma de todos os inteiros positivos que nao podem ser escritos como a soma de dois numeros abundantes.
dificil;Laco de Repeticao   ;Googol		 ;Um googol (10^100 ) e um numero massivo: um seguido por cem zeros, 100 100 e quase inimaginavelmente grande: um seguido por duzentos zeros. Apesar de seu tamanho, a soma dos digitos em cada numero e de apenas 1. Considerando numeros naturais da forma, a b , onde a, b <100, qual e a soma digital maxima?
dificil;Laco de Repeticao   ;Multiplos           ;Pode ser visto que o numero 125874 e seu dobro, 251748, contem exatamente os mesmos digitos, mas em uma ordem diferente. Encontre o menor numero inteiro positivo, x , de modo que 2 x , 3 x , 4 x , 5 x e 6 x contenham os mesmos digitos.
dificil;Laco de Repeticao   ;Maior Amigo         ;Anacleto tem 1,50 m e cresce 2 cm por ano, enquanto Felisberto tem 1,10 m e cresce 3 cm por ano. Construa um algoritmo que calcule e imprima quantos anos serao necessarios para que Felisberto seja maior que Anacleto. 
dificil;Laco de Repeticao   ;Dois Ciclistas      ;Dois ciclistas A e B estao andando em uma pista de ciclismo com 2 Km de comprimento com velocidades de 10 m/s e 15 m/s, respectivamente. Escreva um algoritmo em c++ que determine iterativamente o tempo que levara para que esses dois ciclistas A e B se encontrem em um mesmo ponto, sabendo que eles partiram de um mesmo ponto inicial, porem em sentido contrario. O algoritmo tambem deve calcular o deslocamento (a distancia) que cada um percorreu.
dificil;Laco de Repeticao   ;Multiplicidade      ;Dado um numero inteiro positivo, determine a sua decomposicao em fatores primos calculando tambem a multiplicidade de cada fator.
dificil;Laco de Repeticao   ;Hipotenusa          ;Dado um numero inteiro positivo n, determinar todos os inteiros entre 1 e n que sao comprimento da hipotenusa de um triangulo retangulo com catetos inteiros.
facil  ;Vetores e Matrizes  ;Inversa             ;Dada uma sequencia de n numeros, imprimi-la na ordem inversa a da leitura.
facil  ;Vetores e Matrizes  ;Contador            ;Dada uma sequencia de n numeros reais, determinar os numeros que compoem a sequencia e o numero de vezes que cada um deles ocorre na mesma.
facil  ;Vetores e Matrizes  ;Produto Matricial   ;Dada uma matriz real A com m linhas e n colunas e um vetor real V com n elementos, determinar o produto de A por V. 
facil  ;Vetores e Matrizes  ;Sistema Linear      ;Um vetor real X com n elementos e apresentado como resultado de um sistema de equacoes lineares Ax = B cujos coeficientes sao representados em uma matriz real Amxn e os lados direitos das equacoes em um vetor real B de m elementos. Verificar se o vetor X e realmente solucao do sistema dado.
facil  ;Vetores e Matrizes  ;Produto Escalar     ;Dados dois vetores x e y, ambos com n elementos, determinar o produto escalar (1) desses vetores.
facil  ;Vetores e Matrizes  ;Produto Matrcial 2  ;Dadas duas matrizes reais  A (mxn) e B (nxp), calcular o produto de A por B. 
facil  ;Vetores e Matrizes  ;Elemento Nulo       ;Dada uma matriz  Amxn, imprimir o número de linhas e o número de colunas nulas da matriz. 
facil  ;Vetores e Matrizes  ;Triangulo Pascal    ;Imprimir as n primeiras linhas do triangulo de Pascal
facil  ;Vetores e Matrizes  ;Sequencia           ;Dada uma sequencia de n numeros reais, determinar os numeros que compoem a sequencia e o numero de vezes que cada um deles ocorre na mesma.
facil  ;Vetores e Matrizes  ;Sequencia 2         ;Dados dois numeros naturais m e n e duas sequencias ordenadas com m e n numeros inteiros, obter uma unica sequencia ordenada contendo todos os elementos das sequencias originais sem repeticao.
medio  ;Vetores e Matrizes  ;Media Sala          ;Em uma classe ha n alunos, cada um dos quais realizou k provas com pesos distintos. Dados n , k, os pesos das k provas e as notas de cada aluno, calcular a media ponderada das provas para cada aluno e a media aritmetica da classe em cada uma das provas.
medio  ;Vetores e Matrizes  ;Repetidos           ;Dada uma matriz real  Amxn, verificar se existem elementos repetidos em A. 
medio  ;Vetores e Matrizes  ;Maior elemento      ;Crie um modulo que informa qual o menor numero de uma matriz 20x40 de numeros inteiros
medio  ;Vetores e Matrizes  ;Soma Repetidos      ;Some os numeros repetidos de um vetor com 100 inteiros. Como exemplo, o trecho do vetor {2,2,2,3, ...} deve dar como resposta 6
medio  ;Vetores e Matrizes  ;Segundo Maior       ;Faca um programa que le 100 numeros reais e informa qual e o segundo maior deles
medio  ;Vetores e Matrizes  ;Primo Intervalo     ;Faça um programa que recebe do usuário dois inteiros que representam um intervalo inteiro fechado. Depois, calcule qual é o maior número primo desse intervalo. Se não houver número primo no intervalo informado, o programa deve exibir 0
medio  ;Vetores e Matrizes  ;Maior Par           ;Faca um modulo que exibe o maior inteiro par de um vetor com 100 inteiros quaisquer. Se nao houver um numero par, informa isso para o usuario
medio  ;Vetores e Matrizes  ;Multiplica por A    ;Multiplique todos os elementos de uma matriz  de inteiros 40X30 pelo valor de a.
medio  ;Vetores e Matrizes  ;Soma de Elementos   ;Faça um modulo que soma os inteiros de uma matriz 30x50 de inteiros.
medio  ;Vetores e Matrizes  ;Maior Par Menor Imp ;Faca um modulo que informa o maior inteiro par e o maior inteiro impar de um vetor com 100 inteiros entre 1 e 100. Se nao houver um numero par ou impar, informa para o usuario.
dificil;Vetores e Matrizes  ;Cassino             ;Tentando descobrir se um dado era viciado, um dono de cassino honesto (ha! ha! ha! ha!) o lancou n vezes. Dados os n resultados dos lancamentos, determinar o numero de ocorrencias de cada face.
dificil;Vetores e Matrizes  ;Ordenacao           ;Escreva o algoritmo de ordenacao por insercao de um vetor de N (1<=N<=100) elementos como um modulo.
dificil;Vetores e Matrizes  ;Linhas e/ou Colunas ;Dado um vetor de 20 numeros reais e uma matriz 20x20 de numeros reais, informe quais linhas e colunas sao iguais ao vetor, esteja ele na ordem dada ou em ordem inversa. Assuma que obrigatoriamente ha uma linha ou coluna igual ao vetor na matriz.
dificil;Vetores e Matrizes  ;Maior Par Matriz    ;Faça um modulo que informa o maior par (se houver) de uma matriz 30x50
dificil;Vetores e Matrizes  ;Busca Binaria       ;Implemente um modulo de busca binaria de um inteiro n em um vetor com 100 inteiros ordenados de forma decrescente.
dificil;Vetores e Matrizes  ;Vetor Ordenado      ;Dados tres vetores A, B e C com 50 numeros reais ordenados (de forma nao descrescente), faca um modulo que constroi um quarto vetor D ordenado com esses 150 numeros reais.
dificil;Vetores e Matrizes  ;Campo Minado        ;Uma matriz 6X6 logica representa as posicoes minadas de um jogo. Quando uma posicao possui o valor VERDADEIRO significa que ha uma mina ali. Escreva um programa que informa se e possivel percorrer o tabuleiro de um lado ao outro em linha reta (atravessando uma  linha inteira ou coluna inteira) ou diagonal sem passar por uma mina sequer.
dificil;Vetores e Matrizes  ;Clientes            ;Deseja-se atualizar as contas correntes dos clientes de uma agencia bancaria. E dado o cadastro de n clientes contendo para cada cliente o numero de sua conta e o seu saldo; o cadastro esta ordenado pelo numero da conta. Em seguida, e dado o numero de operacoes efetuadas no dia e, para cada operacao, o numero da conta, uma letra C ou D indicando se a operacao e de credito ou debito e o valor da operacao . Emitir o cadastro de clientes atualizado.
dificil;Vetores e Matrizes  ;Repetidos           ;Dado um vetor de 30 numeros inteiros sem nenhum numero repetido e uma matriz 56X56, informe quantos numeros existentes no vetor tambem existem na matriz.
dificil;Vetores e Matrizes  ;Quadrado Magico     ;Dizemos que uma matriz quadrada inteira e um quadrado magico (1) se a soma dos elementos de cada linha, a soma dos elementos de cada coluna e a soma dos elementos das diagonais principal e secundaria sao todas iguais.
facil  ;Alocacao Dinamica   ;Alocacao 1          ;Crie um programa que: (a) Aloque dinamicamente um array de 5 numeros inteiros. (b) Pec a para o usuario digitar os 5 numeros no espaco alocado. (c) Mostre na tela os 5 numeros. (d) Libere a memoria alocada.
facil  ;Alocacao Dinamica   ;Pares e Impares 2   ;Faca um programa que leia do usuario o tamanho de um vetor a ser lido e faca a alocacao dinamica de memoria. Em seguida, leia do usuario seus valores e mostre quantos dos numeros sao pares e quantos sao impares.
facil  ;Alocacao Dinamica   ;Ler Vetor           ;Faca um programa que leia do usuario o tamanho de um vetor a ser lido e faca a alocacao dinamica de memoria. Em seguida, leia do usuario seus valores e imprima o vetor lido.
facil  ;Alocacao Dinamica   ;Vetor Positivo      ;Faca um programa que leia uma quantidade qualquer de numeros armazenando-os na memoria e pare a leitura quando o usuario entrar um numero negativo. Em seguida, imprima o vetor lido.
facil  ;Alocacao Dinamica   ;Maior e Menor       ;Faca um programa que acha o maior e o menor inteiro dentro de um vetor de 10 inteiros, calcule a soma e imprime a soma.
facil  ;Alocacao Dinamica   ;Malloc              ;Faca um programa que pergunte ao usuario quantos valores ele deseja armazenar em um vetor de double, depois use a funcao MALLOC para reservar (alocar) o espaco de memoria de acordo com o especificado pelo usuario. Esse vetor deve ter um tamanho maior ou igual a 10 elementos. Use este vetor dinamico como um vetor comum, atribuindo aos 10 primeiros elementos do vetor valores aleatorios (usando a funcao rand) entre 0 e 100. Exiba na tela os valores armazenados nos 10 primeiros elementos do vetor.
medio  ;Alocacao Dinamica   ;Ponteiros 1        ;Crie funcoes para preencher os elementos de vetor com um certo valor. Para varrer o vetor, nao utilize indices, use apenas aritmetica de ponteiros. Faca isto para os vetores de inteiros e de reais.
medio  ;Alocacao Dinamica   ;Ponteiros 2        ;Crie funcoes para imprimir os elementos de vetor. Para varrer o vetor, nao utilize indices, use apenas aritmetica de ponteiros. Faca isto para os vetores de inteiros e de reais.
medio  ;Alocacao Dinamica   ;Multiplos no Vetor ;Faca um programa que leia um numero N e:  Crie dinamicamente e leia um vetor de inteiro de N posicoes,  Leia um numero inteiro X e conte e mostre os multiplos desse numero que existem no vetor.
medio  ;Alocacao Dinamica   ;Vetores e vetores  ;Faca um programa que leia numeros do teclado e os armazene em um vetor alocado dinamicamente. O usuario ira digitar uma sequencia de numeros, sem limite de quantidade. Os numeros serao digitados um a um e, sendo que caso ele deseje encerrar a entrada de dados, ele ira digitar o numero ZERO.
medio  ;Alocacao Dinamica   ;Dezenas Aleatorias ;Escreva um programa em C para gerar sequencias de X dezenas aleatorias, que variam entre 1 e 60. As sequencias possuem dezenas que podem se repetir no maximo R vezes em todo o resultado. A quantidade N de sequencias, assim como X e R devem ser informados pela entrada padrao. Cada sequencia deve ser numerada por um inteiro i, que varia entre 1, ... N. No final, as sequencias devem ser apresentadas na tela para o usuario
medio  ;Alocacao Dinamica   ;Matriz Simetrica   ;Uma matriz quadrada A, cujos elementos sao designados por Ai,j, e dita simetrica se AT = A. Construa um programa para ler uma matriz NxN do usuario (onde o valor de N tambem e fornecido pelo usuario) e determinar se ela e ou nao simetrica. O N tem um valor maximo, estipulado pelo programador, nao inferior a 100.
medio  ;Alocacao Dinamica   ;Imagem             ;Uma imagem e composta por uma sequencia de inteiros (caso possua apenas um canal). Cada numero destes que varia entre 0 - 255 representa a intensidade de um ponto, informacao utilizada para gerar cor. Uma forma (nerd) de estilizar uma imagem e criar uma representacao ascii da mesma. Convertendo os valores da faixa de 0-255 para a-z sendo que o valor 0 na imagem tambem deve ser representado por 0 em ascii (unica excecao). Escreva um algoritmo em que represente este processo sendo que o usuario deve informar a letra inicial e a letra final, sendo que a letra pode ser minuscula ou maiuscula (dentro do espaco de a a Z) Dicas: lembrando que o espaco de 0-255 (256) e muito maior a-z (27), portanto devera ser feito um processo de amostragem.
medio  ;Alocacao Dinamica   ;Matriz Inversa     ;Implemente um programa que receba uma matriz de tamanho quadrado qualquer e calcule sua inversa. O resultado deve ser impresso na tela.
medio  ;Alocacao Dinamica   ;Media 3            ;Fazer um programa em C para ler uma quantidade N de alunos. Ler a nota de cada um dos N alunos e calcular a media aritmetica das notas. Contar quantos alunos estao com a nota acima de 5.Obs.: Se nenhum aluno tirou nota acima de 5.0, imprimir mensagem: Nao ha nenhum aluno com nota acima de 5.
dificil;Alocacao Dinamica   ;Automoveis         ;Durante uma corrida de automoveis com N voltas de duracao foram anotados para um piloto, na ordem, os tempos registrados em cada volta. Fazer um programa em C para ler os tempos das N voltas, calcular e imprimir: melhor tempo; a volta em que o melhor tempo ocorreu; tempo medio das N voltas.
dificil;Alocacao Dinamica   ;Picos              ;Um determinada sequencia de numeros pode ser associada a alturas atingidas em uma curva. Faca um programa que obtenha quantos picos essa curva teve.  Exemplo de entrada: 40 0 -41 0 41 42 20. Resposta: 2
dificil;Alocacao Dinamica   ;Matriz Multiplicar ;Escreva um programa para multiplicar duas matrizes alocadas dinamicamente.
dificil;Alocacao Dinamica   ;Frequencia         ;Dado uma sequencia qualquer de numeros (de tamanho N), escreva um programa que capture a frequencia de ocorrencia de cada numero. Cada numero nao excede o valor de 20000.
dificil;Alocacao Dinamica   ;Determinante       ;Escreva um programa para calcular o determinante de uma matriz alocada dinamicamente 
dificil;Alocacao Dinamica   ;Montante           ;Um estudante deseja economizar para comprar um presente. Sua estrategia consiste em guardar um montante X todo mes, por N meses, para atingir o valor V. Ele deseja saber onde aplicar o dinheiro de tal maneira que atinja o valor V na menor quantidade de meses N. Seu trabalho e implementar um programa que descubra qual investimento trara o retorno na menor quantidade de meses. O estudante lhe informara X e V assim como a rentabilidade dos investimentos que deseja simular (preste atencao, sao mais de um investimento). Cada investimento tera um nome e uma taxa de juros. Se houver empate, apresente todos que empataram (no criterio quantidade de meses).
dificil;Alocacao Dinamica   ;Manipular Vetor    ;Uma tarefa ardua da computacao e? controlar a insercao, consulta e remocao de elementos dentro de um vetor. Escreva um programa que realize as seguintes operacoes dentro de um vetor alocado dinamicamente: a. Insercao de inteiros de maneira ordenada, b. Consulta de inteiros, c. Remocao de inteiros em qualquer posicao do vetor (com reorganizacao do vetor).
dificil;Alocacao Dinamica   ;Conjuntos          ;Escreva um programa para calcular o conjunto união, intersecção e diferença de três conjuntos A, B e C, alocados dinamicamente, contendo todos eles palavras informados pelo usuário.
dificil;Alocacao Dinamica   ;Hidrocarboneto     ;Fac¸a um programa que crie uma estrutura hidrocarboneto com os campos C e H como inteiros correspondentes a quantidade de carbonos e hidrogenios, respectivamente. A funcao principal deve alocar dinamicamente uma  variavel do tipo  hidrocarboneto. Em seguida, devem ser lidas as quantidades de carbonos e hidrogenios e impressa a massa atomica do composto.
dificil;Alocacao Dinamica   ;Loteria            ;Escreva um programa que leia primeiro os 6 numeros gerados pela loteria e depois os 6 numeros do seu bilhete. O programa entao compara quantos numeros o jogador acertou. Em seguida, ele aloca espacos para um vetor de tamanho igual a quantidade de numeros corretos e guarda os numeros corretos nesse vetor. Finalmente, o programa exibe os numeros sorteados e os seus numeros corretos.
facil  ;String              ;Contar String      ;Dados dois strings (um contendo uma frase e outro contendo uma palavra), determine o numero de vezes que a palavra ocorre na frase.
facil  ;String              ;Nao vogais         ;Faca um programa que receba do usuario o tamanho de uma string e chame uma funcao para alocar dinamicamente essa string. Em seguida, o usuario devera informar o conteudo dessa string. O programa imprime a string sem suas vogais.
facil  ;String              ;Separadamente      ;Faca um programa que leia uma frase e retorne todas as palavras da frase separadamente.
facil  ;String              ;Tamanho String     ;Crie um programa que calcula o comprimento de uma string (não use a função strlen).
facil  ;String              ;Print A            ;Entre com um nome e imprima o nome somente se a primeira letra do nome for /a/ (maiuscula ou minuscula). 
facil  ;String              ;Quantidade Letras  ;Digite um nome, calcule e retorne quantas letras tem esse nome
facil  ;String              ;Criterios          ;Ler nome, sexo e idade. Se sexo for feminino e idade menor que 25, imprime o nome da pessoa e a palavra /ACEITA/, caso contrario imprimir /NAO ACEITA/.
facil  ;String              ;Banco de Dados     ;5. Escreva um programa que leia a idade e o primeiro nome de 10 pessoas. Seu programa deve terminar quando uma idade negativa for digitada. Ao terminar, seu programa deve escrever o nome e a idade das pessoas mais  jovens e mais velhas.
facil  ;String              ;Trocas             ;Faca um programa que receba duas frases distintas e imprima de maneira invertida, trocando as letras A por *.
medio  ;String              ;1024               ;Escreva um codigo que permita o usuari a digitar um texto de ate 1024 caracteres e depois fazer consulta nesse texto de uma palavra qualquer. O programa deve retornar todas as ocorrencias da palavra no texto.
